LOGNAME,1823514,0007/0001.csv
MSG,1823519,Accelerometer not ready
ACCS,1823524,100000000
MSG,1823560,Gyroscope not ready
GYRS,1823565,100000000
ACC,1828519,76128,-216672,985272
MSG,1828560,Gyroscope not ready
GYRS,1828565,100000000
ACC,1832087,77104,-212768,986248
MSG,1832128,Gyroscope not ready
GYRS,1832133,100000000
ACC,1835658,80032,-223504,982344
MSG,1835700,Gyroscope not ready
GYRS,1835704,100000000
ACC,1839228,72224,-221064,981856
MSG,1839270,Gyroscope not ready
GYRS,1839275,100000000
ACC,1842820,75152,-216672,978928
MSG,1842862,Gyroscope not ready
GYRS,1842867,100000000
ACC,1846355,83936,-214720,983320
MSG,1846396,Gyroscope not ready
GYRS,1846401,100000000
ACC,1849885,79056,-224480,978928
MSG,1849927,Gyroscope not ready
GYRS,1849932,100000000
ACC,1853419,80032,-222528,981368
MSG,1853461,Gyroscope not ready
GYRS,1853466,100000000
ACC,1856993,74176,-220576,984296
MSG,1857035,Gyroscope not ready
GYRS,1857039,100000000
ACC,1860523,78080,-222528,983320
MSG,1860565,Gyroscope not ready
GYRS,1860583,100000000
ACC,1864055,78080,-215696,979904
MSG,1864097,Gyroscope not ready
GYRS,1864102,100000000
ACC,1867589,81008,-221552,977952
MSG,1867630,Gyroscope not ready
GYRS,1867635,100000000
ACC,1871122,80032,-222528,982832
MSG,1871163,Gyroscope not ready
GYRS,1871168,100000000
ACC,1874698,81008,-224480,981856
MSG,1874740,Gyroscope not ready
GYRS,1874745,100000000
ACC,1878232,78080,-216672,984784
MSG,1878274,Gyroscope not ready
GYRS,1878278,100000000
ACC,1881766,76128,-219600,983320
MSG,1881821,Gyroscope not ready
GYRS,1881827,100000000
ACC,1885299,78080,-224480,983808
MSG,1885341,Gyroscope not ready
GYRS,1885345,100000000
ACC,1888876,82960,-220576,984784
MSG,1888918,Gyroscope not ready
GYRS,1888922,100000000
ACC,1892409,78080,-214720,980392
MSG,1892451,Gyroscope not ready
GYRS,1892456,100000000
ACC,1895939,77104,-224480,981368
MSG,1895980,Gyroscope not ready
GYRS,1895985,100000000
ACC,1899468,76128,-217648,976976
MSG,1899510,Gyroscope not ready
GYRS,1899515,100000000
ACC,1903001,73200,-218624,981856
MSG,1903042,Gyroscope not ready
GYRS,1903047,100000000
ACC,1906577,73200,-216184,980880
MSG,1906619,Gyroscope not ready
GYRS,1906623,100000000
ACC,1910110,78080,-221552,982832
MSG,1910152,Gyroscope not ready
GYRS,1910156,100000000
ACC,1913640,79056,-218624,980880
MSG,1913682,Gyroscope not ready
GYRS,1913686,100000000
ACC,1917168,75152,-222528,983320
MSG,1917209,Gyroscope not ready
GYRS,1917214,100000000
ACC,1920744,76128,-222528,982832
MSG,1920786,Gyroscope not ready
GYRS,1920805,100000000
ACC,1924276,72224,-220576,984296
MSG,1924318,Gyroscope not ready
GYRS,1924323,100000000
ACC,1927810,69296,-220576,985760
MSG,1927851,Gyroscope not ready
GYRS,1927856,100000000
ACC,1931340,71736,-219600,981856
MSG,1931381,Gyroscope not ready
GYRS,1931386,100000000
ACC,1934873,81008,-222528,984296
MSG,1934915,Gyroscope not ready
GYRS,1934920,100000000
ACC,2018437,85888,-218624,979904
MSG,2018479,Gyroscope not ready
GYRS,2018483,100000000
ACC,2021969,81008,-218624,984784
MSG,2022024,Gyroscope not ready
GYRS,2022029,100000000
ACC,2025544,79056,-218624,981368
MSG,2025587,Gyroscope not ready
GYRS,2025591,100000000
ACC,2029071,81008,-214720,980880
MSG,2029113,Gyroscope not ready
GYRS,2029118,100000000
ACC,2032603,82960,-214720,981856
MSG,2032645,Gyroscope not ready
GYRS,2032650,100000000
ACC,2036136,80032,-219600,979904
MSG,2036177,Gyroscope not ready
GYRS,2036182,100000000
ACC,2039663,82960,-214720,979416
MSG,2039704,Gyroscope not ready
GYRS,2039723,100000000
ACC,2043240,80032,-223504,984784
MSG,2043281,Gyroscope not ready
GYRS,2043286,100000000
ACC,2046767,79056,-219600,984296
MSG,2046808,Gyroscope not ready
GYRS,2046813,100000000
ACC,2050299,75152,-220576,987224
MSG,2050340,Gyroscope not ready
GYRS,2050345,100000000
ACC,2053825,76128,-225456,983320
MSG,2053867,Gyroscope not ready
GYRS,2053872,100000000
ACC,2057397,81984,-218624,988688
MSG,2057438,Gyroscope not ready
GYRS,2057443,100000000
ACC,2060929,81984,-221552,980392
MSG,2060984,Gyroscope not ready
GYRS,2060989,100000000
ACC,2064461,76128,-215696,984784
MSG,2064502,Gyroscope not ready
GYRS,2064507,100000000
ACC,2067993,82960,-218624,988200
MSG,2068035,Gyroscope not ready
GYRS,2068039,100000000
ACC,2071519,83936,-215696,989664
MSG,2071561,Gyroscope not ready
GYRS,2071566,100000000
ACC,2075095,79056,-213744,985760
MSG,2075136,Gyroscope not ready
GYRS,2075141,100000000
ACC,2078622,72712,-214720,982344
MSG,2078663,Gyroscope not ready
GYRS,2078668,100000000
ACC,2081614,76128,-215696,983320
MSG,2282001,Gyroscope not ready
GYRS,2282006,100000000
MSG,2284995,Accelerometer not ready
ACCS,2285000,100000000
MSG,2285036,Gyroscope not ready
GYRS,2285040,100000000
ACC,2288572,82960,-225456,984296
MSG,2288614,Gyroscope not ready
GYRS,2288619,100000000
ACC,2292107,77104,-214232,985272
MSG,2292149,Gyroscope not ready
GYRS,2292154,100000000
ACC,2295641,79056,-212280,984296
MSG,2295683,Gyroscope not ready
GYRS,2295687,100000000
ACC,2299175,78080,-221552,977464
MSG,2299231,Gyroscope not ready
GYRS,2299236,100000000
ACC,2302709,77104,-214720,976976
MSG,2302751,Gyroscope not ready
GYRS,2302756,100000000
ACC,2306287,81984,-217648,976976
MSG,2306329,Gyroscope not ready
GYRS,2306334,100000000
ACC,2309821,80032,-212280,976976
MSG,2309863,Gyroscope not ready
GYRS,2309867,100000000
ACC,2313355,78080,-220576,985272
MSG,2313397,Gyroscope not ready
GYRS,2313402,100000000
ACC,2316889,78080,-217648,979416
MSG,2316932,Gyroscope not ready
GYRS,2316936,100000000
ACC,2320469,81008,-214232,984784
MSG,2320510,Gyroscope not ready
GYRS,2320515,100000000
ACC,2324003,81008,-216672,976000
MSG,2324044,Gyroscope not ready
GYRS,2324049,100000000
ACC,2327536,81984,-223504,985760
MSG,2327578,Gyroscope not ready
GYRS,2327583,100000000
ACC,2331065,77104,-214232,983320
MSG,2331107,Gyroscope not ready
GYRS,2331111,100000000
ACC,2334599,77104,-214720,982832
